"","City","total_deaths","Massachusetts.Cities.by.Population.Rank","Population","County","Year","Deaths"
"1","Abington",15,122,16396,"Plymouth","2013",2
"2","Acton",15,84,23777,"Middlesex","2013",0
"3","Acushnet",16,178,10544,"Bristol","2013",0
"4","Adams",7,204,8090,"Berkshire","2013",1
"5","Agawam",21,NA,28849,"Hampden","2013",3
"6","Alford",0,342,486,"Berkshire","2013",0
"7","Amesbury",27,NA,17457,"Essex","2013",2
"8","Amherst",10,40,40046,"Hampshire","2013",2
"9","Andover",21,46,35937,"Essex","2013",4
"10","Aquinnah",2,345,327,"Dukes","2013",0
"11","Arlington",23,28,45510,"Middlesex","2013",3
"12","Ashburnham",4,231,6304,"Worcester","2013",0
"13","Ashby",0,272,3223,"Middlesex","2013",0
"14","Ashfield",1,301,1733,"Franklin","2013",0
"15","Ashland",12,112,17706,"Middlesex","2013",0
"16","Athol",15,167,11711,"Worcester","2013",2
"17","Attleboro",77,29,44590,"Bristol","2013",13
"18","Auburn",11,119,16702,"Worcester","2013",2
"19","Avon",11,258,4496,"Norfolk","2013",1
"20","Ayer",11,201,8145,"Middlesex","2013",1
"21","Barnstable",66,NA,44163,"Barnstable","2013",8
"22","Barre",3,240,5569,"Worcester","2013",0
"23","Becket",0,302,1723,"Berkshire","2013",0
"24","Bedford",13,141,14197,"Middlesex","2013",0
"25","Belchertown",14,133,15100,"Hampshire","2013",3
"26","Bellingham",15,116,17093,"Norfolk","2013",1
"27","Belmont",14,74,26458,"Middlesex","2013",0
"28","Berkley",11,223,6707,"Bristol","2013",1
"29","Berlin",1,273,3176,"Worcester","2013",0
"30","Bernardston",1,287,2111,"Franklin","2013",0
"31","Beverly",56,34,41816,"Essex","2013",5
"32","Billerica",59,31,43962,"Middlesex","2013",4
"33","Blackstone",13,191,9304,"Worcester","2013",0
"34","Blandford",0,316,1260,"Hampden","2013",0
"35","Bolton",3,243,5283,"Worcester","2013",0
"36","Boston",730,1,685094,"Suffolk","2013",87
"37","Bourne",36,97,19879,"Barnstable","2013",2
"38","Boxborough",2,227,6401,"Middlesex","2013",0
"39","Boxford",4,198,8310,"Essex","2013",0
"40","Boylston",3,257,4634,"Worcester","2013",0
"41","Braintree",46,NA,37156,"Norfolk","2013",4
"42","Brewster",5,184,9836,"Barnstable","2013",1
"43","Bridgewater",39,71,27478,"Plymouth","2013",5
"44","Brimfield",2,264,3745,"Hampden","2013",0
"45","Brockton",193,6,95672,"Plymouth","2013",27
"46","Brookfield",6,268,3437,"Worcester","2013",1
"47","Brookline",13,19,59157,"Norfolk","2013",1
"48","Buckland",2,294,1874,"Franklin","2013",1
"49","Burlington",25,72,27176,"Middlesex","2013",3
"50","Cambridge",65,4,113630,"Middlesex","2013",6
"51","Canton",29,85,23444,"Norfolk","2013",4
"52","Carlisle",0,245,5235,"Middlesex","2013",0
"53","Carver",27,166,11715,"Plymouth","2013",2
"54","Charlemont",0,319,1240,"Franklin","2013",0
"55","Charlton",12,150,13571,"Worcester","2013",1
"56","Chatham",4,233,6169,"Barnstable","2013",0
"57","Chelmsford",24,48,35099,"Middlesex","2013",3
"58","Chelsea",60,39,40227,"Suffolk","2013",7
"59","Cheshire",1,275,3142,"Berkshire","2013",0
"60","Chester",1,312,1380,"Hampden","2013",0
"61","Chesterfield",0,317,1258,"Hampshire","2013",0
"62","Chicopee",79,23,55515,"Hampden","2013",9
"63","Chilmark",1,326,916,"Dukes","2013",0
"64","Clarksburg",2,304,1643,"Berkshire","2013",1
"65","Clinton",21,146,13963,"Worcester","2013",2
"66","Cohasset",6,197,8516,"Norfolk","2013",0
"67","Colrain",0,303,1665,"Franklin","2013",0
"68","Concord",2,98,19237,"Middlesex","2013",0
"69","Conway",0,293,1878,"Franklin","2013",0
"70","Cummington",0,329,881,"Hampshire","2013",0
"71","Dalton",1,224,6581,"Berkshire","2013",0
"72","Danvers",30,70,27558,"Essex","2013",6
"73","Dartmouth",26,49,34336,"Bristol","2013",2
"74","Dedham",25,77,25364,"Norfolk","2013",3
"75","Deerfield",1,249,5026,"Franklin","2013",0
"76","Dennis",24,148,13917,"Barnstable","2013",4
"77","Dighton",5,212,7715,"Bristol","2013",1
"78","Douglas",6,193,8869,"Worcester","2013",0
"79","Dover",1,235,6041,"Norfolk","2013",0
"80","Dracut",31,53,31619,"Middlesex","2013",6
"81","Dudley",7,165,11768,"Worcester","2013",3
"82","Dunstable",2,269,3379,"Middlesex","2013",1
"83","Duxbury",7,127,15928,"Plymouth","2013",0
"84","East Bridgewater",13,138,14465,"Plymouth","2013",4
"85","East Brookfield",0,285,2195,"Worcester","2013",0
"86","East Longmeadow",12,123,16291,"Hampden","2013",5
"87","Eastham",10,251,4882,"Barnstable","2013",2
"88","Easthampton",18,NA,24984,"Hampshire","2013",6
"89","Easton",30,79,24984,"Bristol","2013",2
"90","Edgartown",0,260,4321,"Dukes","2013",0
"91","Egremont",0,320,1205,"Berkshire","2013",0
"92","Erving",1,298,1767,"Franklin","2013",1
"93","Essex",1,263,3748,"Essex","2013",0
"94","Everett",90,27,46324,"Middlesex","2013",5
"95","Fairhaven",NA,125,16055,"Bristol","2013",4
"96","Foxborough",13,113,17574,"Norfolk","2013",1
"97","Framingham",53,14,72032,"Middlesex","2013",4
"98","Franklin",23,NA,32996,"Norfolk","2013",2
"99","Freetown",14,190,9339,"Bristol","2013",0
"100","Gardner",33,92,20640,"Worcester","2013",4
"101","Georgetown",9,196,8688,"Essex","2013",1
"102","Gill",2,309,1499,"Franklin","2013",0
"103","Gloucester",49,58,30172,"Essex","2013",6
"104","Goshen",1,322,1065,"Hampshire","2013",0
"105","Gosnold",0,350,76,"Dukes","2013",0
"106","Grafton",8,102,18761,"Worcester","2013",3
"107","Granby",7,228,6332,"Hampshire","2013",2
"108","Granville",0,306,1624,"Hampden","2013",0
"109","Great Barrington",2,220,6855,"Berkshire","2013",0
"110","Greenfield",27,NA,17456,"Franklin","2013",5
"111","Groton",3,170,11364,"Middlesex","2013",1
"112","Groveland",4,221,6789,"Essex","2013",1
"113","Hadley",4,242,5335,"Hampshire","2013",0
"114","Halifax",8,209,7855,"Plymouth","2013",5
"115","Hamilton",5,207,8051,"Essex","2013",1
"116","Hampden",3,247,5196,"Hampden","2013",0
"117","Hancock",1,337,698,"Berkshire","2013",0
"118","Hanover",10,139,14444,"Plymouth","2013",1
"119","Hanson",12,176,10777,"Plymouth","2013",1
"120","Hardwick",4,276,3025,"Worcester","2013",0
"121","Harvard",1,225,6569,"Worcester","2013",1
"122","Harwich",11,161,12145,"Barnstable","2013",2
"123","Hatfield",7,270,3299,"Hampshire","2013",3
"124","Haverhill",138,15,63639,"Essex","2013",8
"125","Hawley",0,344,337,"Franklin","2013",0
"126","Heath",0,336,699,"Franklin","2013",0
"127","Hingham",3,86,23415,"Plymouth","2013",1
"128","Hinsdale",5,290,1932,"Berkshire","2013",0
"129","Holbrook",22,174,11026,"Norfolk","2013",4
"130","Holden",15,100,18943,"Worcester","2013",0
"131","Holland",1,283,2496,"Hampden","2013",0
"132","Holliston",10,136,14753,"Middlesex","2013",1
"133","Holyoke",48,38,40341,"Hampden","2013",8
"134","Hopedale",7,236,5976,"Worcester","2013",0
